ID_encrypt,_What_did_you_do_before_studying_at_ALC__,_What_will_you_do_after_the_ALC_program_ends__,_Who_pays_for_you_to_study_at_ALC__,_How_did_you_hear_about_ALC__,_Which_digital_devices_do_you_have_with_you_in_LA__,_How_do_you_stay_in_contact_with_your_friends__,_Which_English_test_have_you_taken_within_the_last_6_months__,_Which_English_test_do_you_plan_to_take_in_the_next_6_months__,_What_major_or_field_do_you_plan_to_study_after_you_complete_your_ALC_program__,Quarter
0x0185110EABD2F2B89F58453447DD6348EFA23BE784FF812283F20AA8A325063B15E356E6BD92C93B3FA9B5E2477A51A7419C918A8EE7E21610404E06CAAEBD887C,student,UNEX certificate,family,Internet,"(computer,mobile device)",SMS,IELTS,none,Art/Architecture/Design,AIEP_FA17
0x011DF69E6136573567CDD0B74EA6D344F05DC5535B9F328DA99160205E8DC944572C9FB48036EB2AF7C22995BBD46A87136BB1B62161BDE468E3ED9A229DD5F326,student,4-year college,government,embassy,"(computer,mobile device)",SMS,none,none,Engineering,AIEP_FA17
0x0171AF7876216054510AFF29FBB0C0B7653B8BFA05BB7A258638AB2AE084D15333EE584B28F19F411C05B015C9C1A494A6AFEE47C13510FCCD13F431DD78DB84E3,student,UNEX certificate,family,friend/family,"(computer,mobile device)",SMS,none,iBT-TOEFL,Other,AIEP_FA17
0x0115419E45FE6FFF97C1A0B8C967BD4614AABE732DACF9BCFDC113388C1B48B0B8846DBC47B98A2358A4FAC9192E4FF307CFDCA8E66F9F7911DFCF571B2ECA461D,working,return to home country,family,Internet,"(computer,mobile device)","(SMS,Skype,social websites)",none,iBT-TOEFL,Business/Finance,AIEP_FA17
0x017A9655DB14D06607B44D01F344EC57BB90DD53FD135A7D4B534E8500D6CD64E238A7096720FF8842F602EC4C6AFE8ABDD2B9C8BC014B5EC154EA1D38086EACDB,working,return to home country,company,ALC student,"(computer,mobile device)",SMS,none,TOEIC,Engineering,AIEP_FA17
0x014410E7A847EBCD526BE7354B4205B60A2474C24496FCF41181C761E74A52776529796EE426B302ED2621CF00CEF5D463F46EDC50A6102FA149274DD518133028,student,UNEX certificate,family,embassy,"(computer,mobile device)","(SMS,social websites)",IELTS,"(iBT-TOEFL,IELTS)",Engineering,AIEP_FA17
0x019A59503A87E54C285FDB253AA0E89A154C4EF893830C1972A63964EE9FE718646AB4F7F89913EDB6A8C65E7F184FD0E55A052247CEE92682CC1717E5EDFC336F,student,UNEX certificate,family,Internet,"(computer,mobile device)","(SMS,Skype,social websites)",TOEFL,iBT-TOEFL,Business/Finance,AIEP_FA17
0x01906DC33FC4BF02E97BD1A3A5B3CEE1B67D3DD544DAD0438D9443B13332161ACA898A86FF0CE58554A4A311949E5C4A1E2DF0CEB2D6DACE6FFB6A4FFFDB88F8AD,student,MA or PhD,government,friend/family,"(computer,mobile device)",SMS,none,IELTS,Engineering,AIEP_FA17
0x0123B7BB94FE3DCEB8773A7FA435CC143F04B839CD8E6C0D521E90C14ECDC0E5396EB2CE499FE575E90AACEB9151380752B762AC99DC07D74828E2DE7BB92C2297,working,UNEX certificate,self,Internet,mobile device,"(email,SMS)",TOEFL,iBT-TOEFL,Business/Finance,AIEP_FA17
0x01ACFF9181334B5CEB525B17E90ACEC4E6DC820798B15E7E8226C5CCDF9A7C781EE102F884B61DEDE64C8B2D3E02528CF11819EDA45A69F4FEC9E03CD6BBC0114E,working,return to home country,family,Internet,computer,SMS,none,none,Engineering,AIEP_FA17
